Security Code,Issuer Name,Security Id,Security Name,Sector Name
507948,Key Corp Ltd,KEYCORP,KEY CORP LTD.,Financial Services
507952,Shikhar Leasing and Trading Ltd.,SHIKHARLETR,SHIKHAR LEASING & TRADING LTD.,Financial Services
507960,Gujarat Hotels Ltd.,GUJHOTE,GUJARAT HOTELS LTD.,Consumer Discretionary
507962,Rajath Finance Limited,RAJATH,Rajath Finance Limited,Financial Services
507966,"Ras Resorts & Apart Hotels Ltd.,",RASRESOR,RAS RESORTS & APART HOTELS LTD.,Consumer Discretionary
507970,Paramount Cosmetics (India) Ltd,PARMCOS-B,PARAMOUNT COSMETICS (INDIA) LTD.,Fast Moving Consumer Goods
507981,"Jindal Hotels Ltd.,",JINDHOT,JINDAL HOTELS LTD.,Consumer Discretionary
507987,"Jupiter Industries & Leasing Ltd.,",JPTRLES,JUPITER INDUSTRIES & LEASING LTD.,Financial Services
507998,Simmonds-Marshall Ltd,SIMMOND,SIMMONDS MARSHALL LTD.,Consumer Discretionary
508136,B & A Ltd.,BNALTD,B & A LTD.,Fast Moving Consumer Goods
508486,Hawkins Cooker Ltd.,HAWKINCOOK,HAWKINS COOKERS LTD.-$,Consumer Discretionary
508494,Warren Tea Ltd.,WARRENTEA,WARREN TEA LTD.-$,Fast Moving Consumer Goods
508571,Cochin Malabar Estates & Indus. Ltd,COCHMAL,COCHIN MALABAR ESTATES & INDUSTRIES LTD.,Consumer Discretionary
508664,Best Eastern Hotels Limited,BESTEAST,BEST EASTERN HOTELS LTD.,Consumer Discretionary
508670,"Neelamalai Agro Industries Ltd.,",NEAGI,NEELAMALAI AGRO INDUSTRIES LTD.,Fast Moving Consumer Goods
508807,IST Limited,ISTLTD,IST LTD.,Consumer Discretionary
508814,Cosmo First Limited,COSMOFIRST,Cosmo First Ltd,Industrials
508867,New Markets Advisory Ltd,NEWMKTADV,NEW MARKETS ADVISORY LTD.,Information Technology
508869,"Apollo Hospitals Enterprises Ltd.,",APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LTD.,Healthcare
508875,Nitin Castings Limited,NITINCAST,Nitin Castings Ltd,Industrials
508905,"SMIFS Capital Markets Ltd.,",SMIFS,SMIFS CAPITAL MARKETS LTD.,Financial Services
508906,Everest Industries Ltd.,EVERESTIND,EVEREST INDUSTRIES LTD.,Commodities
508918,IRONWOOD EDUCATION LIMITED,IRONWOOD,Ironwood Education Ltd,Consumer Discretionary
508922,MSR India Limited,MSRINDIA,MSR INDIA LTD.,Industrials
508933,AYM Syntex Limited,AYMSYNTEX,AYM Syntex Ltd,Consumer Discretionary
508941,Panasonic Carbon India Co.Ltd,PANCARBON,PANASONIC CARBON INDIA CO.LTD.-$,Industrials
508954,Finkurve Financial Services Limited,FINKURVE,Finkurve Financial Services Ltd,Financial Services
508956,"HB Leasing & Finance Co. Ltd.,",HBLEAS,HB LEASING & FINANCE CO.LTD.,Financial Services
508961,"Shricon Industries Ltd.,",SHRICON,SHRICON INDUSTRIES LTD.,Financial Services
508969,Sulabh Engineers & Services Limited,SULABEN,SULABH ENGINEERS & SERVICES LTD.,Financial Services
508980,Frontier Capital Limited,FRONTCAP,Frontier Capital Ltd,Services
508989,Navneet Education Limited,NAVNETEDUL,Navneet Education Limited,Consumer Discretionary
508993,"Kedia Construction Co. Ltd.,",KEDIACN,KEDIA CONSTRUCTION CO.LTD.,Consumer Discretionary
508996,Satra Properties(India) Ltd,SATRAPROP,SATRA PROPERTIES (INDIA) LTD.,Consumer Discretionary
509003,"Transoceanic Properties Ltd.,",TRANOCE,TRANSOCEANIC PROPERTIES LTD.,Services
509009,AuSom Enterprise Limited,AUSOMENT,AuSom Enterprise Limited,Services
509020,Ruchi Infrastructure Ltd,RUCHINFRA,RUCHI INFRASTRUCTURE LTD.,Services
